institute,person,run,status
40,1157,15,prim
68,1158,15,prim
40,1159,15,prim
69,1161,15,prim
27,1162,15,prim
30,1163,15,prim
67,1164,15,prim
9,1165,15,prim
40,1166,15,prim
71,1167,15,prim
30,1168,15,prim
68,1169,15,prim
23,1170,15,prim
29,1172,15,prim
46,1174,15,prim
30,1175,15,prim
60,1176,15,prim
38,1177,15,prim
33,1178,15,prim
40,1179,15,prim
60,1180,15,prim
15,1181,15,prim
68,1182,15,prim
65,1183,15,prim
27,1184,15,prim
38,1185,15,prim
69,1186,15,prim
69,1187,15,prim
30,1188,15,prim
29,1189,15,prim
30,1190,15,prim
65,1191,15,prim
32,1192,15,prim
68,1194,15,prim
6,1196,15,prim
25,1197,15,prim
63,1199,15,prim
36,1200,15,prim
45,1201,15,prim
30,1202,15,prim
29,1204,15,prim
30,1205,15,prim
12,1206,15,prim
69,1207,15,prim
36,1208,15,prim
27,1209,15,prim
15,1210,15,prim
10,1211,15,prim
27,1213,15,prim
36,1214,15,prim
60,1215,15,prim
9,1216,15,prim
1,1217,15,prim
13,1218,15,prim
12,1219,15,prim
59,1220,15,prim
59,1221,15,prim
69,1222,15,prim
60,1223,15,prim
12,1224,15,prim
15,1225,15,prim
12,1226,15,prim
61,1548,15,prim
82,1549,15,prim
30,1553,15,prim
30,1554,15,prim
48,1555,15,prim
48,1556,15,prim
9,1557,15,prim
8,970,15,prim
61,731,15,prim
25,1600,15,prim
64,1601,15,prim
23,1602,15,prim
4,1603,15,prim
69,1604,15,prim
74,1605,15,prim
63,1607,15,prim
69,1608,15,prim
19,1609,15,prim
78,1037,15,sec
14,749,16,new
37,1646,16,prim
23,427,16,new
14,1678,16,prim
1,1647,16,prim
30,1648,16,prim
75,1649,16,prim
43,1650,16,prim
75,1651,16,prim
16,1652,16,prim
14,1679,16,prim
61,1043,16,sec
64,1680,16,prim
69,1653,16,prim
59,1654,16,prim
22,1655,16,prim
48,1656,16,prim
48,1657,16,prim
23,1658,16,prim
6,1659,16,prim
6,1660,16,prim
69,1661,16,prim
86,354,16,sec
78,1037,16,sec
62,393,3,sec
62,415,3,sec
8,327,3,prim
85,545,15,new
86,354,15,sec
8,1100,15,prim
23,959,15,prim
5,915,17,prim
73,1621,15,prim
8,1612,15,prim
8,1613,15,prim
69,1615,15,prim
7,774,17,prim
77,1617,15,prim
18,1618,15,prim
18,1619,15,prim
84,104,15,sec
55,586,15,prim
69,1622,15,prim
48,1623,15,prim
69,1624,15,prim
48,1625,15,prim
74,1626,15,prim
1,1628,15,prim
19,1629,15,prim
75,1630,15,prim
56,1631,15,prim
56,1633,15,prim
27,1610,15,new
69,1634,15,prim
86,1037,15,prim
69,1639,15,prim
74,913,15,prim
62,721,16,prim
9,870,16,prim
43,1635,16,prim
62,1636,16,prim
23,764,16,prim
13,1588,16,prim
13,1036,16,prim
13,1107,16,prim
62,306,16,sec
8,425,16,sec
13,1571,16,sec
61,373,16,sec
62,322,16,sec
62,360,16,sec
62,393,16,sec
62,415,16,sec
61,471,16,sec
61,484,16,sec
57,516,16,prim
62,488,16,sec
62,712,16,sec
61,491,16,sec
64,520,16,sec
